(1)pl	(chicken)_gizzard	1sg	all	also	and	bat	be_afraid	beggar	bottle	breasts	bully	cheeky	chopsticks	cold_water	cricket	dirty	door_jam	dragonfly	eat_(breakfast)	egg	female_dog	flash_lightning	fly	frog	general_mw	go_out_of_business	growing_grain	horse_cntr	how_(to_do_)	hungry	instance_cntr	keep_a_fire_(for_warmth)	knife_mw	lay_(egg)	leftover_(rice)	loc.	look	male_dog	moon	nose	not_viscous	owe	pass.	play	pomelo	rainbow	relax_in_a_cool_place	salt	search_for	serve_up_rice	shoulder	shout	shrimp	sleep	son	soup_spoon	soybean	sparrow	spider	steamed_rice	stroll	sturdy	that	thief	this	throw	to_rain	toad	tomorrow	tongue	tree_cntr	umbrella	well-behaved	who	wing	yesterday
BA	teiLF.	kʰɐŋLB.	wɔLB.	hɐŋLF.pʰaŋLT.laŋLF.	jaLB.	tʰuŋLF.	maLF.tsɐuHT.syLB.	kiaŋHR.	hɐʔHT.jiHT.	tsɐŋHT.	mɐiHT.	haHT.	pæHR.jinLF. / tʰiuLR.pɐiLF.	tsyLF.	tuŋLR.suiLB.	tsoʔHT.tsiaHR.	lɐʔLT.kuaʔLT.	munLF.tsʰæŋLB.	tʰɔŋLF.nɐiHT.	seʔLT.	tsʰɐŋHR.	kɐuHT.naLB.	siŋLB.tiŋLF.	jiHT.jiiŋLF.	kɐʔHT.	kɔLR.	tsaʔHT.laʔHT.	wɔLF.	tsieHR.	tiŋLB.jɔŋLF.	tʰouLB.wɔLF.	tsʰiLR.	puiLF.	tsiɔŋHR.	saŋHT.	læŋLB.	tsʰuiLB.	tʰɐiHR.	kɐuLB.kuŋHR.	jɔʔLT.keiHT.	pɐiLF.kɔHT.	tsʰiaŋHR.	tsæŋHR.	peiLB.	liuLF.	wɔLF.loʔHT.	kʰuŋLB.	sauLR.	jiŋLF.	wɐŋHT. / tsʰɐŋHT.	juLB.	kaŋHT.tʰɐuLF.	ŋaiLR. / kiuLR. / haŋLR.	haHT.	fɐŋLR.	tsɐiLB.	kɐŋHT.tʰiuHT.	pæʔLT.ŋæŋHT.tɐuHT.	maLF.tsʰiɔHR.	kʰɐŋLF.louHT.	fæŋLF.	kʰuɔŋLF.	sɐʔLT.tsiɔŋLF.	kɔHR.	tsʰaʔLT.tsɐiLB.	neiHT.	tiaŋLR. / pʰiaHR.	lɔʔLT.jyLB.	kʰɐŋLF.syLF.	tʰiŋHR.jiʔLT.	lɐiLF.	pʰɔHR.	tsiaHT.	kuaiHT.	mɐʔHT.suiLF.	jeʔLT.	tsʰɔHR.jiʔLT.
BB	n.ȵanLRF.	kʰɛŋHT.	ŋɔLR.	tsʰinLRF.puLF.	jɛLR.	kəuŋLF.	fɐiHT.siHB.	pʰaHF.	hatHT.ȵiHT.lɛuHB.	pʰiŋLRF.	nɛnLF.	hapHT.	tʰiuHF.pʰɐiLRF.	kʰuaiHF.	janHT.suiHB.	tʰuHB.kauHB.	wɔHF.	munLRF.kʰɐmHT.	tsʰiŋHT.tʰiŋLRF.	hikHT.	tanLF.	kauHB.m̍LR.	simHB.tinLF.	mɐnHT.jiŋLRF.	kɔpHB.muLR.	tsikHB.	kʰɐpHT.tauHB.	wɔLRF.	tsikHB.	sianHF.tuŋHB.	kiHT.	tʰɔŋHF.	tsikHT.	tsiaŋHT.	saŋHT.	siŋLF.	sɔiLR.	tʰaiHR.	kauHB.kəuŋHT.	ȵitLT.kuɔŋHT.	pʰɐiLF.kəuŋHT.	hiHT.	tsaŋHT.	tsiakLT.	liuLR.	maʔHT.jauLF.	kiaŋHF.	siŋLRF.	jimLRF.	kɔnHB.	juHR.	pɔkHB.tʰauLRF.	eauHT.	haHT.kəuŋHT.	suiLF.	tsaiHB.	tʰɔŋHT.kaŋHT.	wɔŋLRF.tauLF.	maLRF.tsʰiakHB.	tsɔpHB.tsiHT.	fɔnLF.	tɔŋLF.	kitHT.satLT.	aLF.	tsʰatLT.	kiHB.	tiuHT.	lɔkLB.suiHB.	kʰamLF.siLRF.	miŋLRF.tsiuHT.hɐuLF.	lɐiLRF.tsʰinLRF.	tauHT.	tsɛHT.	kuaiHT.	manHF.ȵanLRF.	hikLT.	tsɔkHB.ȵatLT.
BH	teiLT.	sɐnLR.	ŋɔLR.	tsʰinLF.puLT.	jɐuLT.	tʰuŋLF.	fɐiHT.siHR.	pʰaHB.	hɐtHT.ȵiHT.lɐuHR.	tsinHR.	mɛLF.tsiHT.	haHR.	saHT.siHR.	kʰuaiHB.tsiHR.	jɐnHT.ɬuiHR.	tsukHT.tsɐtHT.	laLT.tsaLT.	munLF.hɐmHR.	tsʰiŋHT.tʰiŋLF.	sikLT.	tanLT.	kɐuHR.naHR.	simHR.tinLT.	mɐnHT.jiŋHT.	tʰinLF.kɐiHT.	tsiɛkHB.	lɐmHB.tɔŋHB.	wɔLF.	pʰɐtHT.	tsʰɐnHR.tsiLR.	ŋɔLT.	tsʰiHB.	hɔŋHB.	paHT.	saŋHT.	kɐuLT.	tsɔiLT.	tʰaiHR.	kɐuHR.kuŋHT.	ȵitLT.kɔŋHT.	pɐiLT.kuŋHT.	hɐiHT.	tsaŋHT.	aiLT.	lauLR.	tɐpLT.pukLT.	tʰinHT.kɔŋHB.	lɔŋLT.	jimLF.	wɐnHR.	pɐtHT.	pɔkHB.tʰɐuLF.	ɛuHT.	haHT.	suiLT.	tsɐiHR.	tʰiuLF.kaŋHT.	wɔŋLF.tɐuLT.	maLF.tsʰiɛkHB.	tsiHT.tsyHT.	fanLT.	kɔŋLT.	kʰɐmHT.	nɔHB.	tsʰɐkLT.tsɐiHR.	kɔHB.	tsaiHT.	lɔkLT.jiLR.	kʰɐmLF.siLF.	miŋLF.ȵɐtLT.	leiLT.tsʰinLF.	tɐuHT.	tsɛHT.	tʰiɛŋHT.waLT.	mɐtHR.ȵɐnLF.	jikLT.sɐuHR.	tsɐnLT.ȵɐtLT.
BL	tiLF.	sɐnLR.	ŋɔLR.	hɐmLF.paLF.lɐŋLF.	jɛLR.	kuŋLF.	fiHT.syHR.	pʰaHF.	hɐtHT.ȵiHT.	pʰiŋLF.	nɛnLF.	hɐpHT.	tʰiuHF.pʰiLF.	waiHF.tiHR.	tuŋHF.suiHR.	tʰuHR.kɐuHR.	latLT.tʰatHB.	munLF.hɐmHR.	tʰiŋHT.tʰiŋLF.	hikHT.	tanLF.	kɐuHR.naHR.	japHT.liŋLF.	mɐnHT.jiŋLF.	kɔpHB.naHR.	tsikHT.	kʰɐpHT.tɐuHR.	kukHT.	pʰɐtHT.	timHR.mɐnHT.	kiHT.	kynLF.	tsikHT.	paHR.	siaŋHT.	siŋLF.	tʰoiLR.	tʰɐiHR.	kɐuHR.kuŋHT.	ȵœtLT.liaŋLF.	piLF.kuŋHT.	hiHT.	tsiaŋHT.	tsipHT.	tuaŋLF.	pɔHT.lukHT.	kɐŋHF.	luaŋLF.	jimLF.	wanHR.	juHR.	puakHB.tʰɐuLF.	hamHF.	haHT.kuŋHT.	suiLF.	tsɐiHR.	siLF.kiaŋHT.	waŋLF.tɐuLF.	nɛHT.nɐuHT.	lauLF.tsauHT.	fanLF.	tuaŋLF.	mɐtLT.sɐtLT.	aLR.	tʰɐkLT.	koHR.	tiuHT.	luakLT.suiHR.	kʰɐmLF.syLT.	miŋLF.tsiuHT.hɐuLF.	liLF.tʰinLF.	lɔLR.	tsɛHT.	kuɔiHB.	mɐtHT.ȵɐnLF.	jikLT.	tʰuŋLF.ȵɐtLT.
BS	tiLT.	sɐnLR.	ŋɔLR.	tsʰinHF.puLT.	jikLT.	tʰuŋHF.	fiHT.syHR.	pʰaHB.	hɐtHT.yHF.	pʰiŋHF.	mɛHF.	hɐpHT.	hiuHF.pʰiHF.	faiHB.sɐuHR.	tuŋHB.suiHR.	tʰuHR.kɐuHR.	latLT.tʰatHB.	munHF.hɐmHR.	tsʰiŋHT.tʰiŋHF.	sikLT.	tanLT.	kɐuHR.naHR.	simHR.tinLT.	mɐnHT.jiŋHT.	kɐpHT.	tsiakHB.	kʰɐpHT.tɐuHR.	kukHT.	pʰɐtHT.	tʰuŋHF.timHR.	ŋɔLT.	tʰɔŋHB.	hɔŋHB.	paHR.	saŋHT.	tsiŋLT.	hɐiHR.	tʰɐiHR.	kɐuHR.kuŋHT.	itLT.kɔŋHT.	piLT.kɔHT.	hiHT.	tsaŋHT.	ŋaiHF.	saHR.	pɔHT.lukHT.	kɔŋHB.	siŋHF.	jimHF.	wɐnHR.	tsɔŋHT.	pɔkHB.tʰɐuHF.	ɛuHT.	haHT.kuŋHT.	suiLT.	tsɐiHR.	tsʰiHF.kɐŋHT.	wɔŋHF.tɐuLT.	maHF.tsʰøkHB.	kʰɐmHF.lɔLF.	fanLT.	kʰuaŋHB.	kʰɐmHT.	luHT.	tsʰɐkLT.	niHT.	fɐŋHB.	lɔkLT.yLR.	kʰɐmHF.kʰiHF.	tʰiŋHT.jɐtLT.	liLT.tsʰinHF.	pʰɔHT.	tɛHT.	kuaiHT.	pinHT.kɔHB.	jikLT.	tsʰɐmHF.jɐtLT.
BS_p	tuiLT.	sɐnLR.	ŋaLR.	hɐmLF.paLF.lɐŋLF.	jɛLR.	tsʰɐuHR.	fuiHF.suiHF.	pʰaHR.	kauHR.waHR.tsiHB.	ɛŋHF.	pɛHR.	hɐpHT.	tʰiuHR.puiLF.	kʰuaiHR.tsuiLT.	jənHF.suiHB.	tʰɔHB.kɐuHB.	ukHB.tsʰukHB.	munLF.kʰamHB.	taŋLF.lɔiHF.	hɐtHB.	tanLT.	mɐuLR.kɐuHB.	simHB.tinLT.	mɐnHF.ənHF.	kapHB.	kiHR.	kʰɐpHT.tɐuHB.	kɔkHB.	pʰɐtHB.	ɬiLT.nɐŋHB.	kuiHF.	tʰaŋHR.	pɔŋLT.	paHB.	aHF.	kɐuLT.	tsuiLT.	hanHR.	kɔŋHF.kɐuHB.	wuitLT.lɛŋLT.	puətLT.tsiHB.	huiHF.	tsɐŋHF.	ŋaiHF.	hɐnHF.	pɔkLT.tsiHB.	kaŋHR.kaŋHT.kətHB.	sənLF.	himLF.	lɐiHR.	tsaŋHF.	pukHB.tɐuLF.	ɛuHF.	haHF.	suiLT.	ȵiLF.	tiuLF.kɛŋHF.	huŋLF.tɐuLT.	maLF.tsʰɛkHT.	tsauHR.tsaHF.	fanLT.	laŋHR.	kʰɐmHF.	ȵiLT.	paLF.sɐuHB.	kəHR.	tɐuHF.	lukLT.huiLR.	sɐmLF.suiLF.	mənLF.ȵɐtHB.	luiLT.tsinLF.	tɐuHF.	ɬanHR.	kuaiHF.	nanHF.	jətLR.paŋHB.	tsiLT.ȵɐtHB.
BT	lɔtHT.	ɬuɐnHR.	ŋuɔLR.			katHT.	fukLT.syHT. / fiHF.siaŋLT.syHT.	pʰaLR.	kɔuHT.faLT.loHT.	pɛŋLF.	nɛŋLR.		tiuLT.piLF.	syLFR. / kʰuaiHB.tsaiHT.	duŋHB.suiHT.	sɛkLT.sɔtHT.	øŋHB.tøŋHF.	munLT.kanHT.	nukLT.ȵiaHT.	hɛkLR.	tsʰɔnHF.	kɔuLF.puɔLF.	tsʰiaHT.lɔtLT.lɛŋLFR.	aŋLF.	tinLF.køtHT.	naHF. / kɔLR.	kuanHB.munLF. / toHB.puaiLR.	wɔLF.	pʰuɐtHT.		tuHB.kiHF.	tʰiLR. / wuiLF.	tsʰuŋHB.	baHB.	saŋHB.	duŋHR.	ɬœyLR.	hønLR.	kɔuHB.kuHT.	ŋytLR.liaŋLFR.	piLFR.tɔuLF.	hiHF.	tsaŋHF. / hinHR.	piLR. / muɐnHF.	saLF.kɛkLFR.	saHT.tinLF.jɔuLF.	ønLT.luŋHF.	løŋLT.	jinLF.	løHT.	tsøŋHF.	bøkLT.tɔuLF.	wauHT.	haHF.	hɔnHR.	tɔiHT.	siLF.kaŋHF.	wɔŋLF.tɔuLFR.	maLF.tʰiakHT.	tsiLF.tsuiHF.	panLFR.	saLR.	kitHT.sɔtLFR.	nuHR.	ɬiuLT.tʰɔuHF. / ɬanLT.tsɛkLT.sɔuHT.	kutLT.	sanLFR.	løkLFR.suiHT.	kɔnLT.kyHF.	mɛŋLT.ȵuɐtHT.	hɔuLT.sitLT.tɔuLF.	dɔuHF.	ɬanHR.	tʰɛŋLT.waLFR.	nuLR.tinHT.	jiHR.	ɬinLF.ȵuɐtHT.
BY	tuiHF.	sɐnLT.	ŋœLT.	hɐmLFR.paLFR.lɐŋLFR.	jaLT.	tsʰɐuHT.	pitHR.suiHB.sœŋHT.	pʰaHT.	tsauHT.waHT.	piŋLFR.	mɛHR.	haHR.	tʰiuHT.pʰɐiLFR.	tsuiHT.	laŋLT.sœHB.	tʰəuHB.kɐuHB.	latLT.tʰatHB.	munLFR.kʰamHB.	tsʰiŋHR.tiŋLFR.	hɐtHT.	tanHF.	məuLT.kɐuHB.	kuatHB.luLFR.lauHF.	mɐnLFR.jiŋLFR.	kœpHB.	kœHT.	lɐmHT.tœŋHT.	kukHT.	tsikHT.	tuŋLFR.nɛŋHF.	kəiHR.	tsʰəiHT.	iŋHB.	paHB.	aHR.	siŋHF.	tsaiLT.	hœnHT.	kuŋHR.kɐuHB.	ȵutHF.lɛŋHF.	pɐtLT.	həiHR.	tsaŋHR.	tsɛkHF.	hunLT.jəuLFR.	jəuHF.tsəiHB.	tsaŋHR.	siŋLFR.	jimLFR.	lœHB.	juLT.	pukHB.tɐuLFR.	hamHT.	haHR.kuŋHR.	sœHF.	tsaiHB.	tʰœŋHR.kaŋHR.	uŋLFR.tɐuHF.	maLFR.tɐiHT.	tsuŋLFR.kœuHT.	fanHF.	jəuLFR.	kʰɐmHR.	naHF.	tsɐkLT.	kuHB.	liuHT.	lœkHF.huiLT.	kʰɐmLFR.kʰeLFR.	məŋLFR.ȵətLT.	ləiLF.tsinLFR.	tɐuHR.	ɬanHT.	kuaiHR.	suiLFR.kœHT.	jikLT.	tsɔkLT.ȵətLT.
CH	tiHT.	sɐnLR.	ŋɔiLR.	hɐmLT.paŋLT.laŋLF.	tuLR.	tʰuŋLT.	fɐiHB.syHR.	kɛŋHT.	hɐtHT.jiHT.	tsɐnHT.	ninHT.	haLR.	tʰiuHB.pʰɐiLT.	faiHB.tsiHR.	tsʰɛkHB.sœyHR.	tsɐtHT.	lakLT.tʰakLR. / laLR.tsaHR.	tɐiLF.pukLT.	nɔŋLT.nɐiLT.	sikLT.	pɔkHT.	kɐuHT.naHR.	lœyLT.kuŋLR.fiHB.fɛHT.	wuHT.jiiŋLT.	kɐpLR.naHR.	kɔiLR.	tsɐpHT.lɐpHT.	wɔLT.	tsɛkHB.	tiŋHT.miŋHT.jœŋHR.	tuHT.ŋɔLF.	tʰɔŋLR.	tsɛkLR..	tsœŋHB.	lɐuHB.	laŋLR.	tsʰɔiLR.	tʰɐiHR.	kɐuHR.kuŋHT.	jytLT.naHR.	pɐiLF.kɔHT.	hiLR.	tsaŋLR.	pɐiHT.	liuLF. / faŋHR.	kɔHT.lukLT.	luŋLT.	tʰauHR.	jimLT.	wɐnHR.	tsɔŋLR.	kinHB.tʰɐuLT.	hamLR.	haHT.kuŋHT.	fɐnHB.	tsɐiHR.	tsʰiLT.kiŋHT.	pakLT.tɐuHR.	wɔLT.tsœkHB.tsɐiHR.	kʰɐmLT.louLT.	faŋLF.	tɔŋLF.	sɐtLT.tsɛŋLF.	kɔiLR.	tsʰikLT.tsɐiHR.	ɐiLR.	fiŋHR.	lɔkLT.sœyHR.	kʰɐmLT.kʰyLT.	tʰiŋHT.jɐtLT.	lɐiLF.	pʰɔLR.	tsɛHT.	kuaiHF.	mɐtHT.sœyLT.	jiikHR.	tsɔLF.jɐtLT.
CZ_p	tɐiLT.	kʰɐnLF.	ŋaLF.	tsʰinLF.pɐuLT.	tsʰɐiLF.	tsʰɐuHR.	feiHF.saɯLR.	pʰaHR.	hɐtHT.jɐiHF.	tsɐnHF.	mɛHF.	hɐpHT.	manLF.pʰɐiLF.	waiHR.tseiLR.	katHT.suiLR.	tʰɔLR.kɐuLR.	ɔLR.ɬɔiHF.	munLF.hamLR.	tsʰiŋHF.tʰiŋLF.	hikHT.	tanLT.	mɐuLF.kɐuLR.	simLR.tinLT.	mɐnLF.jiŋHF.	kəpLR.	tsikHT.	kʰɐpHT.tɐuHR.	kɔkLR.	tsikHT.	timLR.jɛŋLT.	keiHF.	pɐnHR.	kʰaŋHR.	paLR.	ɔHT.	kəuLT.	tsaɯLT.	hɔnHR.	kuŋHF.kɐuLR.	ytLT.kuŋHF.	pɐtLT.tseiLR.	lɛuHF.	tsɛŋHF.	ŋaiLT.	lɛuHR.	pukLT.lukHT.	kaŋHR.	siŋLF.	himLF.	laLT.	tsaŋHF.	pukLT.təuLF.	wɛuHF.	haHF.tsɿLR.	suiLT.	jɐiLF.ŋiLF.	sɐiLF.kɛŋHF.	huŋLF.tɐuLT.	maLF.tsʰɛkLR.	tsiHF.tsiHF.	fanLT.	kʰuɐŋLF.	kʰɐmHF.	naLF.	hiLT.muHF.	tsiHR.	kuɛŋLR.	lɐkLT.haɯLF.	sɐmLF.saɯLF.	miŋLF.jɐtLT.	sitLR.təuLF.	tɐuHT.	ɬanHR.	kuaiHT.	lɔLT.suiLF.	jikLT.	tsɐŋLT.jɐtLT.
