idx,var,xb,pdgx,gy,gloss_zh,gloss_en,dialect,form,family,subfamily,orth,transcription,ref,,
1,1,2,5,2,月亮,moon,GZ,ngiot8 kwong1,1,1,月光,jyt²² kuɔŋ⁵⁵,,,
2,1,2,5,2,月亮,moon,HK,ngiot8 kwong1,1,1,月光,jyt²² kuɔŋ⁵⁵,,,
3,1,2,5,2,月亮,moon,JT,ngiot8 kwong1,1,1,月光,jyk²² kuɔŋ⁵⁵,,,
4,1,2,5,2,月亮,moon,MC,ngiot8 kwong1,1,1,月光,jyt²² kuɔŋ⁵⁵,,,
5,1,2,5,2,月亮,moon,PY,ngiot8 kwong1,1,1,月光,jyt²² kuɔŋ⁵⁵,,,
6,1,2,5,2,月亮,moon,HXHS,ngiot8 kwong1,1,1,月光,jyt²² kuɔŋ⁵³,,,
7,1,2,5,2,月亮,moon,CH,ngiot8 na3,1,4,月 na³⁵,jyt²² na³⁵,,,
8,1,2,5,2,月亮,moon,ZC,ngiot8 kwong1,1,1,月光,jit²² kuɔŋ⁵⁵,,,
9,1,2,5,2,月亮,moon,FS,ngiot8 kwong1,1,1,月光,jyt²² kuɔŋ⁵³,,,
10,1,2,5,2,月亮,moon,NH,ngiot8 kwong1,1,1,月光,jyt²² kuɔŋ⁵⁵,,,
11,1,2,5,2,月亮,moon,NH,ngiot8,1,3,月,jyt³⁵,,,
12,1,2,5,2,月亮,moon,SD,ngiot8 kwong1,1,1,月光,jyt²¹ kuɔŋ⁵³,,,
13,1,2,5,2,月亮,moon,SS,ngiot8 kwong1,1,1,月光,jyt²² kuɔŋ⁵³,,,
14,1,2,5,2,月亮,moon,GM,ngiot8 kwong1,1,1,月光,jyt²² kuɔŋ⁴⁵⁵,,,
15,1,2,5,2,月亮,moon,ZS,ngiot8 kwong1,1,1,月光,ŋyt³³ kɔŋ⁵⁵,,,
16,1,2,5,2,月亮,moon,ZH,ngiot8 kwong1,1,1,月光,ŋyt³³ kɔŋ⁵⁵,,,
17,1,2,5,2,月亮,moon,DMSH,ngiot8 kwong1,1,1,月光,jit²¹ kɔŋ⁴⁵,,,
18,1,2,5,2,月亮,moon,DMZ,ngiot8 kung1,1,2,月光,ᵑgit²¹ koŋ³³,,,
19,1,2,5,2,月亮,moon,JM,ngiot8 kwong1,1,1,月光,jiat²¹ kuaŋ²³,,,
20,1,2,5,2,月亮,moon,XH,ngiot8,1,3,月,ᵑgit²¹,,,
