(1)pl	(chicken)_gizzard	1sg	all	also	and	bat	be_afraid	beggar	bottle	breasts	bully	cheeky	chopsticks	cold_water	cricket	dirty	door_jam	dragonfly	eat_(breakfast)	egg	female_dog	flash_lightning	fly	frog	general_mw	go_out_of_business	growing_grain	horse_cntr	how_(to_do_)	hungry	instance_cntr	keep_a_fire_(for_warmth)	knife_mw	lay_(egg)	leftover_(rice)	loc.	look	male_dog	moon	nose	not_viscous	owe	pass.	play	pomelo	rainbow	relax_in_a_cool_place	salt	search_for	serve_up_rice	shoulder	shout	shrimp	sleep	son	soup_spoon	soybean	sparrow	spider	steamed_rice	stroll	sturdy	that	thief	this	throw	to_rain	toad	tomorrow	tongue	tree_cntr	umbrella	well-behaved	who	wing	yesterday
BA	ti6	kin4	ngo4	ham9_pa9_lang9	ja4	tung2	ma2_ciw1_shy3	kiang1	hat7_nyi2	tsyn1	maj1	ha1	paak7_iam5 / tiaw5_pi2	cy6	tung5_shuj3	tsyt7_tsik7	la8_kwa8	muon2_chan2	tong2_ni1	shik2	chun1	kaw3_na3	shiam3_tian6	ji1_jing1	kap7	ko5	tsap7_lap7	wo2	ciak7	tiam3_jong6	tu4_ngo6	tshi5	puoj6	ciong1	shaang1	laang4	tsoj4	thaj3	kaw3_kung1	ngiot8_ki1	pi6_ko1	tshiang1	caang1	pi3	lew6	wo2_luk7	kung4	shaw3	jiam2	wun1 / tsam2	jiaw3	kaan5_taw2	aaj5 / kiaw5 / haam5	ha1	hun1	tsaj3	kaang1_tiaw2	paak8_ngaang6_taw6	ma2_tsiok8	kham2_low2	fan6	khwaang5	shit8_tsiang6	ko5	tsaak8_tsaj3	ni1	tiang5 / phiak8	lok8_y4	kam2_shy2	thing1_nyit8	li6	pho1	tse1	kwaaj1	mat7_shuj2	jik8	tso2_nyit8
BB	n_nyin2	kin4	ngo4	tsion2_pu5	ja4	kung6	fi1_shy3	pha5	hat7_nyi2_low3	bing2	nian1	hap7	tiaw5_pi2	khwaaj5	in1_shuj3	thu3_kaw3	u(o)1	muon2_ka/om4	tshing1_ting2	hiak7	tan6	kaw3_mu4	shiam3_tian6	mun1_jing1	kap7_mu4	ciak7	khap7_taw3	wo2	ciak7	shan_tung2	ki1	thong5	ciak7	ciong1	shaang1	cing6	tsoj4	thaj3	kaw3_kung1	ngiot8_kwong1	pi6_kung1	hi1	caang1	ciak8	lew6	mat_jiw6	kiong5	cing2	jiam2	kaan5	jiaw3	p(i)ok7_taw2	aaw1	ha1_kung1	shuj6	tsaj3	thong3_kaang1	wong2_taw6	ma2_tsiok8	tsop7_ci1	fan6	tong6	kiat7_shit8	a5	tsaak8	ki1	tew3	lok8_shuj3	kam2_shy2	ming2_ciw1_haw	li6_tsin2	taw5	tse1	kwaaj1	mat7_nyin2	jik8	tsok8_nyit8
BH	ti6	cin4	ngo4	tsion2_pu5	jiw6	tung2	fi1_shy3	pha5	hat7_nyi2_low3	tsyn1	me1_tsi3	ha1	sha1_shi3	khwaaj5_tsi3	in1_shuj3	tsuk7_tsyt7	la6_tsa1	muon2_hom3	tshing1_ting2	shik2	tan6	kaw3_na3	shiam3_tian6	mun1_jing1	tian2_kaj1	ciak7	lam5_tong5	wo2	phit7	can_ci	ngo6	tshi5	hong5	pa3	shaang1	kiw6	tsoj4	thaj3	kaw3_kung1	ngiot8_kwong1	pi6_kung1	hi1	caang1	ngaaj4	lew6	tap8_puk8	thian1_kiong5	long2	jiam2	wun1	pat7	p(i)ok7_taw2	aaw1	ha1	shuj6	tsaj3	tiaw2_kaang1	wong2_taw6	ma2_tsiok8	ci1_cy1	fan6	kwaang6	khim1	no5	tsaak8_tsaj3	ko1	tsaj5	lok8_y4	kam2_shy2	ming2_nyit8	li6_tsin2	taw5	tse1	thiang1_wa6	mat7_nyin2	jik8_shiw5	tsam2_nyit8
BL	ti6	cin4	ngo4	ham9_pa9_lang9	ja4	kung6	fi1_shy3	pha5	hat7_nyi2	bing2	nian1	hap7	tiaw5_pi2	khwaaj5_tsi3	tung5_shuj3	thu3_kaw3	laat8_thaat7	muon2_hom3	tshing1_ting2	hiak7	tan6	kaw3_na3	iop8_liang6	mun1_jing1	kap7_na3	ciak7	khap7_taw3	kuk7	phit7	tiam3_man	ki1	kyn	ciak7	pa3	shaang1	cing6	tsoj4	thaj3	kaw3_kung1	ngiot8_liong6	pi6_kung1	hi1	caang1	tsiap7	tong6	pu/o1_luk7	kiong5	long2	jiam2	wun1	jiaw3	p(i)ok7_taw2	haam5	ha1_kung1	shuj6	tsaj3	ci2_kaang1	wong2_taw6	ne1_naw1	low2_cy9	fan6	tong6	mit8_shit8	a5	tsaak8	ko1	tew3	lok8_shuj3	kam2_shy2	ming2_ciw1_haw	li6_tsin2	lo	tse1	kwaaj1	mat7_nyin2	jik8	tsung2_nyit8
BS	ti6	cin4	ngo4	tsion2_pu5	jiak8	tung2	fi1_shy3	pha5	hat7_nyi2	bing2	me1	hap7	tiaw5_pi2	khwaaj5_tsi3	tung5_shuj3	thu3_kaw3	laat8_thaat7	muon2_hom3	tshing1_ting2	shik2	tan6	kaw3_na3	shiam3_tian6	mun1_jing1	kap7	ciak7	khap7_taw3	kuk7	phit7	tung2_tiam3	ngo6	thong5	hong5	pa3	shaang1	cing6	haj3	thaj3	kaw3_kung1	ngiot8_kwong1	pi6_ko1	hi1	caang1	ngaaj4	sa3	pu/o1_luk7	kiong5	cing2	jiam2	wun1	cong1	p(i)ok7_taw2	aaw1	ha1_kung1	shuj6	tsaj3	ci2_kaang1	wong2_taw6	ma2_tsiok8	kham2_low2	fan6	khwaang5	khim1	n/lu1/4	tsaak8	ni1	kwiang	lok8_y4	kam2_ky2	thing1_nyit8	li6_tsin2	pho1	tse1	kwaaj1	pian1_ko5	jik8	tsam2_nyit8
BS_p	ti6	cin4	nga4	ham9_pa9_lang9	ja4	tsaw1	fi1_shy3	pha5	kiw1_hwa1_tsi3	eng1	pe1	hap7	tiaw5_pi2	khwaaj5_cy6	in1_shuj3	thu3_kaw3	uk7_cuk1	muon2_ka/om4	tong2_li1	hak/t7	tan6	mu4_kaw3	shiam3_tian6	mun1_jing1	kap7	koj5	khap7_taw3	kuk7	phit7	si_nang	ki1	thong5	pong6	pa3	a1/e1	kiw6	cy6	hon5	kung1_kaw3	ngiot8_liong6	pat8_tsi3	hi1	caang1	ngaaj4	han	puk8_tsi3	kiong5_kiong5_ket	cing2	jiam2	laj1	cong1	p(i)ok7_taw2	aaw1	ha1	shuj6	nyi2	tiaw2_kaang1	wong2_taw6	ma2_tsiok8	cu1_ca1	fan6	laang1	khim1	ni1	pa2_shiw3	kǝ1	tew3	lok8_y4	cam2_shy2	ming2_nyit8	li6_tsin2	taw5	saan3	kwaaj1	nan5	jik8_paang5	tsi6_nyit8
BT	lot7	cin4	ngo4			kaap7	fuk7_shy3 / fi1_shiong2_shy3	pha5	kiw1_kwa1_low3	bing2	nian1		tiaw5_pi2	cy6 / khwaaj5_tsaj3	tung5_shuj3	sik7_syt7	ong1_tsong1	muon2_ka/om4	nok8_nya1	hiak7	chun1	kaew_po2	cia_liop_liang2	jing1	thian2_kap7	na6 / ko5	kwaan1_muon2 / tow3_pi6	wo2	phit7		tu4_ki1	tshi5 / wuoj6	chung5	pa3	shaang1	tung5	tsoj4	hon5	kaw3_ku3	ngiot8_liong6	pi6_taw2	hi1	caang1 / hiam5	pi3 / man1	sa_kiak8	sa1_thian2_jiw6	on_lung2	long2	jiam2	lo6	cong1	p(i)ok7_taw2	waaw1	ha1	hun1	tsaj3	ci2_kaang1	wong2_taw6	ma2_tsiok8	ci1_cy1	pan6	sa3	kiat7_shit8	n/lu1/4	siaw3_thaw1 / saam1_ciak1_shiw3	kot？	shaan	lok8_shuj3	kam2_ky2	ming2_nyit8	haw3_shit8_taw2	taw5	saan3	thiang1_wa6	nu4_tin1	jik8	tsian2_nyit8
BY	ti6	cin4	ngo4	ham9_pa9_lang9	ja4	tsaw1	pit1_shy3_shiong1	pha5	kiw1_hwa1	bing2	me1	ha1	tiaw5_pi2	cy6	lang4_shuj3	thu3_kaw3	laat8_thaat7	muon2_ka/om4	tshing1_ting2	hak/t7	tan6	mu4_kaw3	kwat7_lu_law	mun1_jing1	kap7	ko5	lam5_tong5	kuk7	ciak7	tung2_niang	ki1	tshi5	iang1	pa3	a1/e1	cing6	tsoj4	hon5	kung1_kaw3	ngiot8_liong6	pat8	hi1	caang1	ciak8	hun_iw2	jiw6_tsi3	kiong5	cing2	jiam2	lo6	jiaw3	p(i)ok7_taw2	haam5	ha1_kung1	shuj6	tsaj3	thong3_kaang1	wong2_taw6	ma_taj	cung1_ku1	fan6	jiw2	khim1	na6	tsaak8	ku1	liw1	lok8_y4	kam2_ky2	ming2_nyit8	li6_tsin2	taw5	saan3	kwaaj1	shuj2_ko5	jik8	tsok8_nyit8
CH	ti6	cin4	ngoj4	ham9_pa9_lang9	tu1	tung2	fi1_shy3	kiang1	hat7_nyi2	tsyn1	nian1	ha1	tiaw5_pi2	khwaaj5_tsi3	chiak7_shuj3	tsyt7	laat8_thaat7 / la6_tsa1	ti6_puk8	nong2_ni9	shik2	pok7	kaw3_na3	luoj2_kung1_fi_fe	wu1_jing1	kap7_na3	koj5	tsap7_lap7	wo2	ciak7	ting5_ming1_jong6	tu4_ngo6	thong5	ciak7	ciong1	law6	laang4	tsoj4	thaj3	kaw3_kung1	ngiot8_na3	pi6_ko1	hi1	caang1	pi3	lew6 / fan4	ku/o1_luk7	lung2	taw4	jiam2	wun1	cong1	kaan5_taw2	haam5	ha1_kung1	hun1	tsaj3	ci2_kaang1	paak8_taw6	wo2_tsiok8_tsaj3	kham2_low2	fan6	tong6	shit8_tsiang6	koj5	tsaak8_tsaj3	aj5	kwiang	lok8_shuj3	kam2_ky2	thing1_nyit8	li6	pho1	tse1	kwaaj1	mat7_shuj2	jik8	tso2_nyit8
CZ_p	ti6	kin4	nga4	tsion2_pu5	tsaj2	tsaw1	fi1_shy3	pha5	hat7_nyi2	tsyn1	me1	hap7	ngwaan2_pi2	khwaaj5_tsi3	kat1_shuj3	thu3_kaw3	u1_soj1	muon2_hom3	tshing1_ting2	hiak7	tan6	mu4_kaw3	shiam3_tian6	mun1_jing1	kap7	ciak7	khap7_taw3	kuk7	ciak7	tiam3_jong6	ki1	pun1	khong5	pa3	o1	kiw6	cy6	hon5	kung1_kaw3	ngiot8_kung1	pat8_tsi3	lew1	caang1	ngaaj4	lew6	puk8_luk1	kiong5	cing2	jiam2	la6	cong1	p(i)ok7_taw2	waaw1	ha1_tsi3	shuj6	I_nyi2	ci2_kaang1	wong2_taw6	ma2_tsiok8	ci1_cy1	fan6	khwaang5	khim1	na6	je6_mo1	ci1	kwiang	lok8_y4	cam2_shy2	ming2_nyit8	shit8_taw2	taw5	saan3	kwaaj1	lo6_shuj2	jik8	tsam2_nyit8
DC	9	kin4	ngoj4	ham9_pa9_lang9	jiak8 / jiw6	tung2	fi1_shy3 / phian1_fuk7	nat8	hat7_nyi2	tsyn1	nian1	hi1_fu4	tiaw1_liaw9 / paak7_iam5	khwaaj5_tsi3 / khwaaj5		sik7_syt7	laj6_saj6	ti6_fuk8	wong2_mi9	hiak7	tan6	kaw3_na3	shiam3_tian6	wo2_jing1	kap7_kaaj1 / kam2_shy2 / tian2_kaj1	koj5		wo2		ki1_o9	tu4_ki1				shaang1		tow5	thaj3	kaw3_kung1	ngiot8_kwong1	pi6	hi1 / hi1_phiang1_phiang1		i3	lew6 / lew6 / lew6	pu/o1_luk7	thian1_hung2_ / shuj3_khung1		shiong6_mi6	poj3	cong1 / jiaw3	kaan5_taw2		ha1	hun1	tsaj3	ci2_kaang1	wong2_taw6	ma2_tsiok8 / wo2_tsiok8	kham2_low2 / kha2_low9 / ci1_cy1	fan6		khim1	ning9	tsaak8	khoj9		lok8_shuj3	kap7_kwaaj1	hian1_tsow3	li6		tse1	thiang1_kaaw5	a1_shuj2	jik8 / jik8_fu	tsok8_nyit8
