(1)pl	(chicken)_gizzard	1sg	all	also	and	bat	be_afraid	beggar	bottle	breasts	bully	cheeky	chopsticks	cold_water	cricket	dirty	door_jam	dragonfly	eat_(breakfast)	egg	female_dog	flash_lightning	fly	frog	general_mw	go_out_of_business	growing_grain	horse_cntr	how_(to_do_)	hungry	instance_cntr	keep_a_fire_(for_warmth)	knife_mw	lay_(egg)	leftover_(rice)	loc.	look	male_dog	moon	nose	not_viscous	owe	pass.	play	pomelo	rainbow	relax_in_a_cool_place	salt	search_for	serve_up_rice	shoulder	shout	shrimp	sleep	son	soup_spoon	soybean	sparrow	spider	steamed_rice	stroll	sturdy	that	thief	this	throw	to_rain	toad	tomorrow	tongue	tree_cntr	umbrella	well-behaved	who	wing	yesterday
BA	teiLF	kʰɐŋLB	wɔLB	hɐŋLF.pʰaŋLT.laŋLF	jaLB	tʰuŋLF	maLF.tsɐuHT.syLB	kiaŋHR	hɐʔHT.jiHT	tsɐŋHT	mɐiHT	haHT	pæHR.jinLF / tʰiuLR.pɐiLF	tsyLF	tuŋLR.suiLB	tsoʔHT.tsiaHR	lɐʔLT.kuaʔLT	munLF.tsʰæŋLB	tʰɔŋLF.nɐiHT	seʔLT	tsʰɐŋHR	kɐuHT.naLB	siŋLB.tiŋLF	jiHT.jiiŋLF	kɐʔHT	kɔLR	tsaʔHT.laʔHT	wɔLF	tsieHR	tiŋLB.jɔŋLF	tʰouLB.wɔLF	tsʰiLR	puiLF	tsiɔŋHR	saŋHT	læŋLB	tsʰuiLB	tʰɐiHR	kɐuLB.kuŋHR	jɔʔLT.keiHT	pɐiLF.kɔHT	tsʰiaŋHR	tsæŋHR	peiLB	liuLF	wɔLF.loʔHT	kʰuŋLB	sauLR	jiŋLF	wɐŋHT / tsʰɐŋHT	juLB	kaŋHT.tʰɐuLF	ŋaiLR / kiuLR / haŋLR	haHT	fɐŋLR	tsɐiLB	kɐŋHT.tʰiuHT	pæʔLT.ŋæŋHT.tɐuHT	maLF.tsʰiɔHR	kʰɐŋLF.louHT	fæŋLF	kʰuɔŋLF	sɐʔLT.tsiɔŋLF	kɔHR	tsʰaʔLT.tsɐiLB	neiHT	tiaŋLR / pʰiaHR	lɔʔLT.jyLB	kʰɐŋLF.syLF	tʰiŋHR.jiʔLT	lɐiLF	pʰɔHR	tsiaHT	kuaiHT	mɐʔHT.suiLF	jeʔLT	tsʰɔHR.jiʔLT
BB	n.ȵanLFR	kʰɛŋHT	ŋɔLR	tsʰinLFR.puLF	jɛLR	kəuŋLF	fɐiHT.ʃiHB	pʰaHF	hatHT.ȵiHT.lɛuHB	pʰiŋLFR	nɛnLF	hap7	tʰiuHF.pʰɐiLFR	kʰuaiHF	janHT.ʃuiHB	tʰuHB.kauHB	wɔHF	munLFR.kʰɐmHT	tsʰiŋHT.tʰiŋLFR	hikHT	tanLF	kauHB.m̍LR	ʃimHB.tinLF	mɐnHT.jiŋLFR	kɔpHB.muLR	tʃikHB	kʰɐpHT.tauHB	wɔLFR	tʃikHB	ʃianHF.tuŋHB	kiHT	tʰɔŋHF	tʃikHT	tʃiaŋHT	ʃaŋHT	ʃiŋLF	ʃɔiLR	tʰaiHR	kauHB.kəuŋHT	ȵitLT.kuɔŋHT	pʰɐiLF.kəuŋHT	hiHT	tʃaŋHT	tʃiakLT	liuLR	maʔHT.jauLF	kiaŋHF	ʃiŋLFR	jimLFR	kaan5	juHR	pɔkHB.tʰauLFR	eauHT	haHT.kəuŋHT	ʃuiLF	tʃaiHB	tʰɔŋHT.kaŋHT	wɔŋLFR.tauLF	maLFR.tsʰiakHB	tʃɔpHB.tʃiHT	fɔnLF	tɔŋLF	kitHT.ʃatLT	aLF	tsʰatLT	kiHB	tiuHT	lɔkLB.ʃuiHB	kʰamLF.ʃiLFR	miŋLFR.tʃiuHT.hɐuLF	lɐiLFR.tʃʰinLFR	tauHT	tʃɛHT	kwaaj1	manHF.ȵanLFR	hikLT	tsɔkHB.ȵatLT
BH	teiLT	ʃɐnLR	ŋɔLR	tʃʰinLF.puLT	jɐuLT	tʰuŋLF	fɐiHT.ʃiHR	pʰaHB	hɐtHT.ȵiHT.lɐuHR	tʃinHR	mɛLF.tʃiHT	ha1	ʃaHT.ʃiHR	kʰuaiHB.tʃiHR	jɐnHT.ɬuiHR	tʃukHT.tʃɐtHT	laLT.tʃaLT	munLF.hɐmHR	tʃʰiŋHT.tʰiŋLF	ʃikLT	tanLT	kɐuHR.naHR	ʃimHR.tinLT	mɐnHT.jiŋHT	tʰinLF.kɐiHT	tʃiɛkHB	lɐmHB.tɔŋHB	wɔLF	pʰɐtHT	tʃʰɐnHR.tʃiLR	ŋɔLT	tʃʰiHB	hɔŋHB	paHT	ʃaŋHT	kɐuLT	tʃɔiLT	tʰaiHR	kɐuHR.kuŋHT	ȵitLT.kɔŋHT	pɐiLT.kuŋHT	hɐiHT	tʃaŋHT	aiLT	lauLR	tɐpLT.pukLT	tʰinHT.kɔŋHB	lɔŋLT	jimLF	wun1	pɐtHT	pɔkHB.tʰɐuLF	ɛuHT	haHT	ʃuiLT	tʃɐiHR	tʰiuLF.kaŋHT	wɔŋLF.tɐuLT	maLF.tʃʰiɛkHB	tʃiHT.tʃyHT	fanLT	kɔŋLT	kʰɐmHT	nɔHB	tʃʰɐkLT.tʃɐiHR	kɔHB	tʃaiHT	lɔkLT.jiLR	kʰɐmLF.ʃiLF	miŋLF.ȵɐtLT	leiLT.tʃʰinLF	tɐuHT	tʃɛHT	thiang1.wa6	mɐtHR.ȵɐnLF	jikLT.ʃɐuHR	tʃɐnLT.ȵɐtLT
BL	tiLF	ʃɐnLR	ŋɔLR	hɐmLF.paLF.lɐŋLF	jɛLR	kuŋLF	fiHT.ʃyHR	pʰaHF	hɐtHT.ȵiHT	pʰiŋLF	nɛnLF	hap7	tʰiuHF.pʰiLF	waiHF.tiHR	tuŋHF.ʃuiHR	tʰuHR.kɐuHR	latLT.tʰatHB	munLF.hɐmHR	tʰiŋHT.tʰiŋLF	hikHT	tanLF	kɐuHR.naHR	japHT.liŋLF	mɐnHT.jiŋLF	kɔpHB.naHR	tʃikHT	kʰɐpHT.tɐuHR	kukHT	pʰɐtHT	timHR.mɐnHT	kiHT	kynLF	tʃikHT	paHR	ʃiaŋHT	ʃiŋLF	tʰoiLR	tʰɐiHR	kɐuHR.kuŋHT	ȵœtLT.liaŋLF	piLF.kuŋHT	hiHT	tʃiaŋHT	tʃipHT	tuaŋLF	pɔHT.lukHT	kɐŋHF	luaŋLF	jimLF	wun1	juHR	puakHB.tʰɐuLF	hamHF	haHT.kuŋHT	ʃuiLF	tʃɐiHR	ʃiLF.kiaŋHT	waŋLF.tɐuLF	nɛHT.nɐuHT	lauLF.tʃauHT	fanLF	tuaŋLF	mɐtLT.ʃɐtLT	aLR	tʰɐkLT	koHR	tiuHT	luakLT.ʃuiHR	kʰɐmLF.ʃyLT	miŋLF.tʃiuHT.hɐuLF	liLF.tʰinLF	lɔLR	tʃɛHT	kwaaj1	mɐtHT.ȵɐnLF	jikLT	tʰuŋLF.ȵɐtLT
BS	tiLT	ʃɐnLR	ŋɔLR	tʃʰinHF.puLT	jikLT	tʰuŋHF	fiHT.ʃyHR	pʰaHB	hɐtHT.yHF	pʰiŋHF	mɛHF	hap7	hiuHF.pʰiHF	faiHB.ʃɐuHR	tuŋHB.ʃuiHR	tʰuHR.kɐuHR	latLT.tʰatHB	munHF.hɐmHR	tʃʰiŋHT.tʰiŋHF	ʃikLT	tanLT	kɐuHR.naHR	ʃimHR.tinLT	mɐnHT.jiŋHT	kɐpHT	tʃiakHB	kʰɐpHT.tɐuHR	kukHT	pʰɐtHT	tʰuŋHF.timHR	ŋɔLT	tʰɔŋHB	hɔŋHB	paHR	ʃaŋHT	tʃiŋLT	hɐiHR	tʰɐiHR	kɐuHR.kuŋHT	itLT.kɔŋHT	piLT.kɔHT	hiHT	tʃaŋHT	ŋaiHF	ʃaHR	pɔHT.lukHT	kɔŋHB	ʃiŋHF	jimHF	wun1	tʃɔŋHT	pɔkHB.tʰɐuHF	ɛuHT	haHT.kuŋHT	ʃuiLT	tʃɐiHR	tʃʰiHF.kɐŋHT	wɔŋHF.tɐuLT	maHF.tʃʰøkHB	kʰɐmHF.lɔLF	fanLT	kʰuaŋHB	kʰɐmHT	luHT	tʃʰɐkLT	niHT	fɐŋHB	lɔkLT.yLR	kʰɐmHF.kʰiHF	tʰiŋHT.jɐtLT	liLT.tʃʰinHF	pʰɔHT	tɛHT	kwaaj1	pinHT.kɔHB	jikLT	tʃʰɐmHF.jɐtLT
BS_p	tuiLT	ʃɐnLR	ŋaLR	hɐmLF.paLF.lɐŋLF	jɛLR	tʃʰɐuHR	fuiHF.ʃuiHF	pʰaHR	kauHR.waHR.tʃiHB	ɛŋHF	pɛHR	hap7	tʰiuHR.puiLF	kʰuaiHR.tʃuiLT	jənHF.ʃuiHB	tʰɔHB.kɐuHB	ukHB.tʃʰukHB	munLF.kʰamHB	taŋLF.lɔiHF	hɐtHB	tanLT	mɐuLR.kɐuHB	ʃimHB.tinLT	mɐnHF.ənHF	kapHB	kiHR	kʰɐpHT.tɐuHB	kɔkHB	pʰɐtHB	ɬiLT.nɐŋHB	kuiHF	tʰaŋHR	pɔŋLT	paHB	aHF	kɐuLT	tʃuiLT	hanHR	kɔŋHF.kɐuHB	wuitLT.lɛŋLT	puətLT.tʃiHB	huiHF	tʃɐŋHF	ŋaiHF	hɐnHF	pɔkLT.tʃiHB	kaŋHR.kaŋHT.kətHB	ʃənLF	himLF	laj1	tʃaŋHF	pukHB.tɐuLF	ɛuHF	haHF	ʃuiLT	ȵiLF	tiuLF.kɛŋHF	huŋLF.tɐuLT	maLF.tʃʰɛkHT	tʃauHR.tʃaHF	fanLT	laŋHR	kʰɐmHF	ȵiLT	paLF.ʃɐuHB	kəHR	tɐuHF	lukLT.huiLR	ʃɐmLF.ʃuiLF	mənLF.ȵɐtHB	luiLT.tʃinLF	tɐuHF	ɬanHR	kwaaj1	nanHF	jətLR.paŋHB	tʃiLT.ȵɐtHB
BT	lɔtHT	ɬuɐnHR	ŋuɔLR			katHT	fukLT.ʃyHT / fiHF.ʃiaŋLT.ʃyHT	pʰaLR	kɔuHT.faLT.loHT	pɛŋLF	nɛŋLR		tiuLT.piLF	ʃyLRF / kʰuaiHB.tsaiHT	duŋHB.ʃuiHT	ʃɛkLT.ʃɔtHT	øŋHB.tøŋHF	munLT.kanHT	nukLT.ȵiaHT	hɛkLR	tʃʰɔnHF	kɔuLF.puɔLF	tʃʰiaHT.lɔtLT.lɛŋLRF	aŋLF	tinLF.køtHT	naHF / kɔLR	kuanHB.munLF / toHB.puaiLR	wɔLF	pʰuɐtHT		tuHB.kiHF	tʰiLR / wuiLF	tʃʰuŋHB	baHB	ʃaŋHB	duŋHR	ɬœyLR	hønLR	kɔuHB.kuHT	ŋytLR.liaŋLRF	piLRF.tɔuLF	hiHF	tʃaŋHF / hinHR	piLR / muɐnHF	ʃaLF.kɛkLRF	ʃaHT.tinLF.jɔuLF	ønLT.luŋHF	løŋLT	jinLF	løHT	tʃøŋHF	bøkLT.tɔuLF	wauHT	haHF	hɔnHR	tɔiHT	ʃiLF.kaŋHF	wɔŋLF.tɔuLRF	maLF.tʰiakHT	tʃiLF.tʃuiHF	panLRF	ʃaLR	kitHT.ʃɔtLRF	nuHR	ɬiuLT.tʰɔuHF / ɬanLT.tʃɛkLT.ʃɔuHT	kutLT	ʃanLRF	løkLRF.ʃuiHT	kɔnLT.kyHF	mɛŋLT.ȵuɐtHT	hɔuLT.ʃitLT.tɔuLF	dɔuHF	ɬanHR	tʰɛŋLT.waLRF	nuLR.tinHT	jiHR	ɬinLF.ȵuɐtHT
BY	tuiHF	ʃɐnLT	ŋœLT	hɐmLRF.paLRF.lɐŋLRF	jaLT	tʃʰɐuHT	pitHR.ʃuiHB.ʃœŋHT	pʰaHT	tʃauHT.waHT	piŋLRF	mɛHR	ha1	tʰiuHT.pʰɐiLRF	tʃuiHT	laŋLT.ʃœHB	tʰəuHB.kɐuHB	latLT.tʰatHB	munLRF.kʰamHB	tʃʰiŋHR.tiŋLRF	hɐtHT	tanHF	məuLT.kɐuHB	kuatHB.luLRF.lauHF	mɐnLRF.jiŋLRF	kœpHB	kœHT	lɐmHT.tœŋHT	kukHT	tʃikHT	tuŋLRF.nɛŋHF	kəiHR	tʃʰəiHT	iŋHB	paHB	aHR	ʃiŋHF	tʃaiLT	hœnHT	kuŋHR.kɐuHB	ȵutHF.lɛŋHF	pɐtLT	həiHR	tʃaŋHR	tʃɛkHF	hunLT.jəuLRF	jəuHF.tʃəiHB	tʃaŋHR	ʃiŋLRF	jimLRF	lo6	juLT	pukHB.tɐuLRF	hamHT	haHR.kuŋHR	ʃœHF	tʃaiHB	tʰœŋHR.kaŋHR	uŋLRF.tɐuHF	maLRF.tɐiHT	tʃuŋLRF.kœuHT	fanHF	jəuLRF	kʰɐmHR	naHF	tʃɐkLT	kuHB	liuHT	lœkHF.huiLT	kʰɐmLRF.kʰeLRF	məŋLRF.ȵətLT	ləiLF.tʃinLRF	tɐuHR	ɬanHT	kwaaj1	ʃuiLRF.kœHT	jikLT	tʃɔkLT.ȵətLT
CH	tiHT	sɐnLR	ŋɔiLR	hɐmLT.paŋLT.laŋLF	tuLR	tʰuŋLT	fɐiHB.syHR	kɛŋHT	hɐtHT.jiHT	tsɐnHT	ninHT	haLR	tʰiuHB.pʰɐiLT	faiHB.tsiHR	tsʰɛkHB.sœyHR	tsɐtHT	lakLT.tʰakLR / laLR.tsaHR	tɐiLF.pukLT	nɔŋLT.nɐiLT	sikLT	pɔkHT	kɐuHT.naHR	lœyLT.kuŋLR.fiHB.fɛHT	wuHT.jiiŋLT	kɐpLR.naHR	kɔiLR	tsɐpHT.lɐpHT	wɔLT	tsɛkHB	tiŋHT.miŋHT.jœŋHR	tuHT.ŋɔLF	tʰɔŋLR	tsɛkLR.	tsœŋHB	lɐuHB	laŋLR	tsʰɔiLR	tʰɐiHR	kɐuHR.kuŋHT	jytLT.naHR	pɐiLF.kɔHT	hiLR	tsaŋLR	pɐiHT	liuLF / faŋHR	kɔHT.lukLT	luŋLT	tʰauHR	jimLT	wɐnHR	tsɔŋLR	kinHB.tʰɐuLT	hamLR	haHT.kuŋHT	fɐnHB	tsɐiHR	tsʰiLT.kiŋHT	pakLT.tɐuHR	wɔLT.tsœkHB.tsɐiHR	kʰɐmLT.louLT	faŋLF	tɔŋLF	sɐtLT.tsɛŋLF	kɔiLR	tsʰikLT.tsɐiHR	ɐiLR	fiŋHR	lɔkLT.sœyHR	kʰɐmLT.kʰyLT	tʰiŋHT.jɐtLT	lɐiLF	pʰɔLR	tsɛHT	kuaiHF	mɐtHT.sœyLT	jiikHR	tsɔLF.jɐtLT
CZ_p	tɐiLT	kʰɐnLF	ŋaLF	tʃʰinLF.pɐuLT	tʃʰɐiLF	tʃʰɐuHR	feiHF.ʃaɯLR	pʰaHR	hɐtHT.jɐiHF	tʃɐnHF	mɛHF	hap7	manLF.pʰɐiLF	waiHR.tʃeiLR	katHT.ʃuiLR	tʰɔLR.kɐuLR	ɔLR.ɬɔiHF	munLF.hamLR	tʃʰiŋHF.tʰiŋLF	hikHT	tanLT	mɐuLF.kɐuLR	ʃimLR.tinLT	mɐnLF.jiŋHF	kəpLR	tʃikHT	kʰɐpHT.tɐuHR	kɔkLR	tʃikHT	timLR.jɛŋLT	keiHF	pɐnHR	kʰaŋHR	paLR	ɔHT	kəuLT	tʃaɯLT	hɔnHR	kuŋHF.kɐuLR	ytLT.kuŋHF	pɐtLT.tʃeiLR	lɛuHF	tʃɛŋHF	ŋaiLT'	lɛuHR	pukLT.lukHT	kaŋHR	ʃiŋLF	himLF	la6	tʃaŋHF	pukLT.təuLF	wɛuHF	haHF.tsɿLR	ʃuiLT	jɐiLF.ŋiLF	ʃɐiLF.kɛŋHF	huŋLF.tɐuLT	maLF.tʃʰɛkLR	tʃiHF.tʃiHF	fanLT	kʰuɐŋLF	kʰɐmHF	naLF	hiLT.muHF	tʃiHR	kuɛŋLR	lɐkLT.haɯLF	ʃɐmLF.ʃaɯLF	miŋLF.jɐtLT	ʃitLR.təuLF	tɐuHT	ɬanHR	kwaaj1	lɔLT.ʃuiLF	jikLT	tʃɐŋLT.jɐtLT
